global_step,mcc,train_loss,eval_loss
59,0.027858490914640408,4.28368616104126,4.027746014675851
100,0.1388860375009059,4.070891857147217,3.8102310673665194
118,0.24644621058859223,3.6875147819519043,3.638863547373626
177,0.631254500370442,3.256054639816284,3.030882439370883
200,0.8061529798397276,2.834552049636841,2.6386114864026085
236,0.8573551743063274,1.9863373041152954,2.184069906250905
295,0.9221981792365874,1.7925243377685547,1.4907570501505318
300,0.9200168612282212,2.2602338790893555,1.4633160819441586
354,0.9825407935361834,1.0775566101074219,0.9389180697626986
400,0.9912666800868809,0.5885568261146545,0.6571497010477518
413,0.9890793756226487,1.1089935302734375,0.5821901269383349
472,0.9956353411596269,0.22419719398021698,0.37195264686972407
500,0.9978154170392022,0.2659372389316559,0.3241557360200559
531,0.9978153375284966,0.14318816363811493,0.24539439506449942
590,0.9956353411596269,0.9525749683380127,0.17348836974824888
600,0.9956353411596269,0.07537608593702316,0.16977044946308864
649,1.0,0.08004013448953629,0.12424232431892622
700,1.0,0.11937856674194336,0.09923130501124819
708,1.0,0.8454639911651611,0.09593275220969975
767,1.0,0.04086548089981079,0.07504452547153175
800,1.0,0.048212651163339615,0.0641876907261499
826,1.0,0.023425769060850143,0.057786518834152464
885,1.0,0.019573189318180084,0.04410979456378747
900,1.0,0.03591879829764366,0.042635942493581165
944,1.0,0.01790086179971695,0.036145012320603354
1000,1.0,0.024176493287086487,0.031013001214270874
1003,1.0,0.016845354810357094,0.03092983246670436
1062,1.0,0.017478376626968384,0.025017562306533427
1100,1.0,0.012325120158493519,0.02451390260041265
1121,1.0,0.014549019746482372,0.0232171771763745
1180,1.0,0.014574043452739716,0.020135768657644926
1200,1.0,0.13982988893985748,0.017196936019838363
1239,1.0,0.010516177862882614,0.0157944549553854
1298,1.0,0.014294502325356007,0.012959890919974295
1300,1.0,0.00912060122936964,0.012967476392385819
1357,1.0,0.007764187641441822,0.011520646465153007
1400,1.0,0.008232791908085346,0.010727511103249203
1416,1.0,0.008479280397295952,0.010446412244148679
1475,1.0,0.011196212843060493,0.009631002890103954
1500,1.0,0.033641137182712555,0.009016437732251519
1534,1.0,0.008253618143498898,0.008638874067277726
1593,1.0,0.020688096061348915,0.00793147428055941
1600,1.0,0.00887473113834858,0.00787849471730701
1652,1.0,0.025912323966622353,0.007468934810199475
1700,1.0,0.006430561188608408,0.007107750378485958
1711,1.0,0.007730090990662575,0.007032733473737361
1770,1.0,0.006430315785109997,0.006667172366563799
1800,1.0,0.00811198353767395,0.006497785089916344
1829,1.0,0.005642751231789589,0.006349041450263585
1888,1.0,0.006205701734870672,0.006077040227572039
1900,1.0,0.012514472007751465,0.006018065050307472
1947,1.0,0.005345325917005539,0.005813967006407299
2000,1.0,0.004667398054152727,0.005611742819043792
2006,1.0,0.005360324867069721,0.005591547732257237
2065,1.0,0.0050165653228759766,0.005392878351859369
2100,1.0,0.005425313953310251,0.005290802931255203
2124,1.0,0.014841246418654919,0.005215194995783396
2183,1.0,0.00473443791270256,0.005049212650253864
2200,1.0,0.005167374853044748,0.005006618553109594
2242,1.0,0.005450689699500799,0.004903205370498916
2300,1.0,0.004484163597226143,0.004777703106687483
2301,1.0,0.004542009439319372,0.0047756676341138655
2360,1.0,0.003938835114240646,0.0046628776945615725
2400,1.0,0.004314529709517956,0.00459044983500015
2419,1.0,0.004678010940551758,0.004558072354391975
2478,1.0,0.00308023183606565,0.004468135906667527
2500,1.0,0.01107504591345787,0.004436580420834786
